unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri"DBA933F9-BC2B-669D-E053-6B04A8C0AD56","1285000","2021-04-16","EC2Y 8AT","F","N","L","FLAT 1","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/DBA933F9-BC2B-669D-E053-6B04A8C0AD56/current"
"52DDAE8E-32A2-4E3D-AFFE-325A730C6E91","130000","1997-06-23","EC2Y 8AT","F","N","L","FLAT 17","SPEED HOUSE","BARBICAN","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/52DDAE8E-32A2-4E3D-AFFE-325A730C6E91/current"
"AA46ED03-B6A3-4CDA-819F-D234505A90B4","430000","2007-01-25","EC2Y 8AT","F","N","L","FLAT 18","SPEED HOUSE","BARBICAN","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/AA46ED03-B6A3-4CDA-819F-D234505A90B4/current"
"466FBD6D-7061-47A6-B2AE-CADFE59BE4F5","200000","1999-09-22","EC2Y 8AT","F","N","L","FLAT 21","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/466FBD6D-7061-47A6-B2AE-CADFE59BE4F5/current"
"85866A65-07E7-143F-E053-6B04A8C06A15","920000","2019-03-18","EC2Y 8AT","F","N","L","FLAT 23","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-07E7-143F-E053-6B04A8C06A15/current"
"C18F412A-72DA-81A6-E053-6B04A8C0AD18","910000","2021-01-29","EC2Y 8AT","F","N","L","FLAT 24","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/C18F412A-72DA-81A6-E053-6B04A8C0AD18/current"
"61D8894D-91A6-3DE6-E053-6C04A8C01207","865000","2017-09-04","EC2Y 8AT","F","N","L","FLAT 24","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/61D8894D-91A6-3DE6-E053-6C04A8C01207/current"
"EDF52055-DFC7-411B-89A7-07D3CCD84A4A","325000","2005-06-09","EC2Y 8AT","F","N","L","FLAT 26","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/EDF52055-DFC7-411B-89A7-07D3CCD84A4A/current"
"08BC503D-3BFB-4198-AF0D-9308D33498AF","280000","2001-07-16","EC2Y 8AT","F","N","L","FLAT 27","SPEED HOUSE","BARBICAN","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/08BC503D-3BFB-4198-AF0D-9308D33498AF/current"
"CE0E0C7C-6C8E-4ED3-BBD2-BFD00BB1BCB9","821000","2013-08-28","EC2Y 8AT","F","N","L","FLAT 28","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/CE0E0C7C-6C8E-4ED3-BBD2-BFD00BB1BCB9/current"
"3EB5472E-6A15-434C-BA3A-D5F7B76AA0A0","365000","2005-10-07","EC2Y 8AT","F","N","L","FLAT 28","SPEED HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/3EB5472E-6A15-434C-BA3A-D5F7B76AA0A0/current"
"1C2BFDEE-BA95-4323-B2D2-394E066C33E0","120000","1997-03-21","EC2Y 8AT","F","N","L","FLAT 28","SPEED HOUSE","BARBICAN","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C2BFDEE-BA95-4323-B2D2-394E066C33E0/current"
