date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
1999-10-01,,,,,,163490,,,,,
2008-11-01,,,,,,396155,,,,,
2023-02-01,,,,,,813032,,,,,
2023-08-01,,,,,,962283,,,,,
2020-04-01,,,,,,918257,,,,,
2015-05-01,,,,,,762815,,,,,
2011-02-01,,,,,,504009,,,,,
1998-08-01,,,,,,148993,,,,,
2008-01-01,,,,,,471861,,,,,
2013-08-01,,,,,,645847,,,,,
2003-03-01,,,,,,291969,,,,,
2006-06-01,,,,,,304977,,,,,
1999-02-01,,,,,,164545,,,,,
1998-11-01,,,,,,152387,,,,,
2002-06-01,,,,,,253130,,,,,
2003-04-01,,,,,,295174,,,,,
2007-03-01,,,,,,403144,,,,,
2014-07-01,,,,,,724282,,,,,
2012-10-01,,,,,,521769,,,,,
2015-07-01,,,,,,779097,,,,,
2021-01-01,,,,,,754228,,,,,
2021-05-01,,,,,,731720,,,,,
2014-05-01,,,,,,682663,,,,,
1999-05-01,,,,,,191081,,,,,
2004-11-01,,,,,,333075,,,,,
2023-11-01,,,,,,862989,,,,,
2024-02-01,,,,,,840075,,,,,
2024-06-01,,,,,,808227,,,,,
2006-02-01,,,,,,323653,,,,,
2022-07-01,,,,,,879560,,,,,
2009-07-01,,,,,,379109,,,,,
2010-12-01,,,,,,445016,,,,,
2022-03-01,,,,,,889061,,,,,
2018-11-01,,,,,,764659,,,,,
2005-05-01,,,,,,311442,,,,,
2021-02-01,,,,,,713173,,,,,
2022-06-01,,,,,,885382,,,,,
2007-11-01,,,,,,450831,,,,,
2008-05-01,,,,,,389733,,,,,
2006-09-01,,,,,,377545,,,,,
2003-05-01,,,,,,284860,,,,,
2011-01-01,,,,,,442413,,,,,
2001-10-01,,,,,,263887,,,,,
2011-09-01,,,,,,436019,,,,,
2019-07-01,,,,,,755626,,,,,
2023-06-01,,,,,,982264,,,,,
1999-01-01,,,,,,149143,,,,,
2001-01-01,,,,,,284262,,,,,
1999-11-01,,,,,,175143,,,,,
2009-06-01,,,,,,348751,,,,,
2016-11-01,,,,,,818663,,,,,
2000-11-01,,,,,,321773,,,,,
2009-03-01,,,,,,399220,,,,,
2016-12-01,,,,,,811786,,,,,
2017-01-01,,,,,,820305,,,,,
2019-05-01,,,,,,719789,,,,,
2022-02-01,,,,,,962962,,,,,
2022-09-01,,,,,,910396,,,,,
2007-02-01,,,,,,399437,,,,,
2001-02-01,,,,,,198137,,,,,
