date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
2002-05-01,,,,,,,226811,,,,
2016-10-01,,,,,,,790055,,,,
2002-03-01,,,,,,,253155,,,,
2003-02-01,,,,,,,263459,,,,
2005-08-01,,,,,,,304714,,,,
2011-06-01,,,,,,,465117,,,,
2009-01-01,,,,,,,399397,,,,
2003-07-01,,,,,,,259690,,,,
2021-06-01,,,,,,,750722,,,,
2016-07-01,,,,,,,908757,,,,
2001-05-01,,,,,,,222929,,,,
2004-08-01,,,,,,,,234836,,,
2002-08-01,,,,,,,,195333,,,
2021-05-01,,,,,,,,488226,,,
2003-05-01,,,,,,,,210583,,,
2015-04-01,,,,,,,,410445,,,
2005-08-01,,,,,,,,237971,,,
2015-05-01,,,,,,,,415817,,,
2002-06-01,,,,,,,,186038,,,
2016-02-01,,,,,,,,457759,,,
2003-09-01,,,,,,,,212901,,,
2011-10-01,,,,,,,,292267,,,
2001-12-01,,,,,,,,167693,,,
2001-04-01,,,,,,,,152865,,,
2011-11-01,,,,,,,,291036,,,
2015-10-01,,,,,,,,440484,,,
2007-02-01,,,,,,,,270780,,,
2009-12-01,,,,,,,,270118,,,
2004-11-01,,,,,,,,234718,,,
2017-04-01,,,,,,,,479790,,,
2010-01-01,,,,,,,,279724,,,
2001-05-01,,,,,,,,157156,,,
2020-08-01,,,,,,,,489424,,,
2004-10-01,,,,,,,,232287,,,
2018-10-01,,,,,,,,480057,,,
2019-07-01,,,,,,,,478505,,,
2007-10-01,,,,,,,,298559,,,
1999-08-01,,,,,,,,119358,,,
2023-03-01,,,,,,,,518761,,,
2014-03-01,,,,,,,,361400,,,
2023-11-01,,,,,,,,511658,,,
1998-05-01,,,,,,,,101077,,,
2012-06-01,,,,,,,,306823,,,
2005-03-01,,,,,,,,231263,,,
1998-02-01,,,,,,,,96944,,,
2015-02-01,,,,,,,,404773,,,
2006-02-01,,,,,,,,239115,,,
2016-05-01,,,,,,,,467485,,,
2016-09-01,,,,,,,,471767,,,
2019-03-01,,,,,,,,464162,,,
2019-10-01,,,,,,,,472668,,,
2006-10-01,,,,,,,,259115,,,
2014-08-01,,,,,,,,404754,,,
1999-04-01,,,,,,,,109621,,,
2022-07-01,,,,,,,,537349,,,
2013-10-01,,,,,,,,340045,,,
2017-06-01,,,,,,,,480152,,,
2022-05-01,,,,,,,,517844,,,
2012-05-01,,,,,,,,304081,,,
2009-03-01,,,,,,,,247264,,,
2017-05-01,,,,,,,,480902,,,
2011-02-01,,,,,,,,285227,,,
2019-05-01,,,,,,,,463628,,,
2023-02-01,,,,,,,,526714,,,
2012-08-01,,,,,,,,310043,,,
1998-04-01,,,,,,,,101287,,,
2024-07-01,,,,,,,,525373,,,
1999-01-01,,,,,,,,105695,,,
2007-01-01,,,,,,,,267658,,,
2003-07-01,,,,,,,,213806,,,
2012-11-01,,,,,,,,308540,,,
2007-11-01,,,,,,,,297648,,,
2013-08-01,,,,,,,,335743,,,
2010-11-01,,,,,,,,282290,,,
2020-01-01,,,,,,,,475948,,,
2012-12-01,,,,,,,,313744,,,
2013-12-01,,,,,,,,352028,,,
2016-06-01,,,,,,,,468120,,,
2004-04-01,,,,,,,,225863,,,
2001-07-01,,,,,,,,161122,,,
2016-07-01,,,,,,,,475530,,,
2024-02-01,,,,,,,,508466,,,
2022-03-01,,,,,,,,514202,,,
2003-03-01,,,,,,,,205573,,,
2014-10-01,,,,,,,,402300,,,
2008-01-01,,,,,,,,298596,,,
2010-12-01,,,,,,,,285353,,,
2017-07-01,,,,,,,,488527,,,
2018-06-01,,,,,,,,479931,,,
2009-05-01,,,,,,,,249991,,,
2010-02-01,,,,,,,,278753,,,
2011-05-01,,,,,,,,284722,,,
2000-04-01,,,,,,,,140670,,,
2005-05-01,,,,,,,,235685,,,
2019-12-01,,,,,,,,479153,,,
2024-01-01,,,,,,,,513267,,,
2009-02-01,,,,,,,,249847,,,
2011-09-01,,,,,,,,295358,,,
2016-03-01,,,,,,,,464647,,,
2008-10-01,,,,,,,,266999,,,
2018-02-01,,,,,,,,477860,,,
2002-11-01,,,,,,,,202527,,,
2001-01-01,,,,,,,,149543,,,
2007-06-01,,,,,,,,285958,,,
2006-07-01,,,,,,,,253883,,,
2022-12-01,,,,,,,,534662,,,
2003-10-01,,,,,,,,214608,,,
2005-06-01,,,,,,,,235899,,,
2005-12-01,,,,,,,,238377,,,
2006-03-01,,,,,,,,241380,,,
2013-02-01,,,,,,,,313550,,,
2013-07-01,,,,,,,,332988,,,
2010-09-01,,,,,,,,290093,,,
2009-11-01,,,,,,,,266837,,,
2006-09-01,,,,,,,,257541,,,
2015-03-01,,,,,,,,404706,,,
1998-11-01,,,,,,,,104259,,,
2020-10-01,,,,,,,,486212,,,
2022-10-01,,,,,,,,536121,,,
2020-05-01,,,,,,,,473225,,,
2012-01-01,,,,,,,,294360,,,
2018-09-01,,,,,,,,476545,,,
2020-02-01,,,,,,,,474480,,,
2023-06-01,,,,,,,,519457,,,
2008-12-01,,,,,,,,253881,,,
2021-02-01,,,,,,,,490544,,,
2018-07-01,,,,,,,,484724,,,
2021-07-01,,,,,,,,494873,,,
2024-05-01,,,,,,,,513126,,,
2001-02-01,,,,,,,,149776,,,
2000-05-01,,,,,,,,140862,,,
1999-05-01,,,,,,,,111216,,,
2010-04-01,,,,,,,,281981,,,
2007-03-01,,,,,,,,273479,,,
2003-11-01,,,,,,,,215556,,,
2001-09-01,,,,,,,,164820,,,
2010-10-01,,,,,,,,286131,,,
2011-06-01,,,,,,,,285906,,,
1999-03-01,,,,,,,,107398,,,
2017-12-01,,,,,,,,476848,,,
2004-06-01,,,,,,,,230156,,,
2005-10-01,,,,,,,,234298,,,
2018-05-01,,,,,,,,478485,,,
2021-10-01,,,,,,,,504044,,,
2010-05-01,,,,,,,,281762,,,
2008-09-01,,,,,,,,276487,,,
2012-07-01,,,,,,,,308962,,,
2021-04-01,,,,,,,,488928,,,
2024-04-01,,,,,,,,510393,,,
2004-05-01,,,,,,,,227330,,,
2017-11-01,,,,,,,,476290,,,
2000-06-01,,,,,,,,143542,,,
2004-09-01,,,,,,,,234134,,,
2016-12-01,,,,,,,,472374,,,
2015-01-01,,,,,,,,402847,,,
2020-09-01,,,,,,,,493205,,,
2021-03-01,,,,,,,,499098,,,
2005-07-01,,,,,,,,237872,,,
2023-01-01,,,,,,,,533247,,,
2010-08-01,,,,,,,,290646,,,
2005-02-01,,,,,,,,231321,,,
1998-10-01,,,,,,,,104179,,,
2022-01-01,,,,,,,,514346,,,
2022-08-01,,,,,,,,543009,,,
2011-04-01,,,,,,,,293993,,,
2021-06-01,,,,,,,,502730,,,
2012-02-01,,,,,,,,292381,,,
2023-09-01,,,,,,,,528420,,,
2012-09-01,,,,,,,,308469,,,
2015-08-01,,,,,,,,436152,,,
2024-06-01,,,,,,,,518284,,,
2009-01-01,,,,,,,,253093,,,
2023-07-01,,,,,,,,522817,,,
2002-05-01,,,,,,,,182805,,,
2002-12-01,,,,,,,,203437,,,
2007-12-01,,,,,,,,297994,,,
2008-08-01,,,,,,,,281721,,,
2019-02-01,,,,,,,,466068,,,
2008-11-01,,,,,,,,258647,,,
2008-03-01,,,,,,,,293605,,,
2010-06-01,,,,,,,,284541,,,
2001-11-01,,,,,,,,167214,,,
2013-11-01,,,,,,,,343749,,,
2014-04-01,,,,,,,,375337,,,
2021-11-01,,,,,,,,511555,,,
2022-02-01,,,,,,,,514749,,,
2023-12-01,,,,,,,,512000,,,
2002-09-01,,,,,,,,197045,,,
2004-03-01,,,,,,,,221324,,,
2020-04-01,,,,,,,,476159,,,
2024-03-01,,,,,,,,506534,,,
2005-09-01,,,,,,,,236916,,,
2003-02-01,,,,,,,,206464,,,
2008-05-01,,,,,,,,295163,,,
2017-01-01,,,,,,,,475619,,,
2019-09-01,,,,,,,,477146,,,
2006-08-01,,,,,,,,256704,,,
2019-01-01,,,,,,,,470067,,,
2011-01-01,,,,,,,,287983,,,
2001-03-01,,,,,,,,150941,,,
2011-03-01,,,,,,,,287092,,,
2018-12-01,,,,,,,,473252,,,
2000-03-01,,,,,,,,134286,,,
1997-12-01,,,,,,,,96863,,,
1998-03-01,,,,,,,,98934,,,
2014-12-01,,,,,,,,402898,,,
2017-02-01,,,,,,,,476717,,,
2002-01-01,,,,,,,,169841,,,
1999-09-01,,,,,,,,122611,,,
2000-09-01,,,,,,,,147316,,,
2000-02-01,,,,,,,,132705,,,
2007-09-01,,,,,,,,298414,,,
2020-07-01,,,,,,,,483830,,,
2021-09-01,,,,,,,,506165,,,
2008-04-01,,,,,,,,294346,,,
2006-04-01,,,,,,,,245474,,,
2007-05-01,,,,,,,,282726,,,
2018-01-01,,,,,,,,479772,,,
2022-09-01,,,,,,,,541150,,,
2024-08-01,,,,,,,,533030,,,
2008-02-01,,,,,,,,295700,,,
1998-01-01,,,,,,,,97914,,,
2003-06-01,,,,,,,,208941,,,
2001-06-01,,,,,,,,158760,,,
2004-01-01,,,,,,,,218855,,,
2023-08-01,,,,,,,,523682,,,
2011-12-01,,,,,,,,292284,,,
2000-12-01,,,,,,,,147483,,,
2018-03-01,,,,,,,,472357,,,
2006-01-01,,,,,,,,239846,,,
2010-03-01,,,,,,,,280472,,,
2019-04-01,,,,,,,,469537,,,
2002-02-01,,,,,,,,170502,,,
2020-11-01,,,,,,,,494552,,,
2002-10-01,,,,,,,,199092,,,
2015-12-01,,,,,,,,450053,,,
2021-08-01,,,,,,,,509859,,,
2006-12-01,,,,,,,,264494,,,
2023-10-01,,,,,,,,518538,,,
1998-07-01,,,,,,,,104368,,,
1999-07-01,,,,,,,,117033,,,
2003-08-01,,,,,,,,212692,,,
2008-06-01,,,,,,,,290100,,,
2002-04-01,,,,,,,,178218,,,
2002-07-01,,,,,,,,191162,,,
2010-07-01,,,,,,,,292772,,,
2011-08-01,,,,,,,,294903,,,
2013-05-01,,,,,,,,322324,,,
2013-03-01,,,,,,,,312289,,,
2003-12-01,,,,,,,,216971,,,
2006-11-01,,,,,,,,258814,,,
2013-06-01,,,,,,,,324518,,,
2014-06-01,,,,,,,,387182,,,
2015-07-01,,,,,,,,431644,,,
2017-03-01,,,,,,,,475442,,,
2018-04-01,,,,,,,,477253,,,
1999-12-01,,,,,,,,127918,,,
1998-09-01,,,,,,,,104611,,,
2012-03-01,,,,,,,,290379,,,
2018-11-01,,,,,,,,474347,,,
2005-04-01,,,,,,,,235367,,,
2021-01-01,,,,,,,,494231,,,
2021-12-01,,,,,,,,511732,,,
2006-05-01,,,,,,,,247591,,,
2023-05-01,,,,,,,,518330,,,
2009-09-01,,,,,,,,267501,,,
2023-04-01,,,,,,,,520429,,,
2019-11-01,,,,,,,,468757,,,
2019-08-01,,,,,,,,472729,,,
2016-04-01,,,,,,,,461068,,,
2019-06-01,,,,,,,,470519,,,
1999-06-01,,,,,,,,113319,,,
2017-10-01,,,,,,,,481762,,,
2022-11-01,,,,,,,,537554,,,
2009-04-01,,,,,,,,245351,,,
2009-08-01,,,,,,,,262076,,,
2016-10-01,,,,,,,,471008,,,
2003-01-01,,,,,,,,207162,,,
2020-12-01,,,,,,,,494193,,,
2022-04-01,,,,,,,,518204,,,
2004-02-01,,,,,,,,219804,,,
2015-06-01,,,,,,,,419474,,,
1998-08-01,,,,,,,,104078,,,
2000-11-01,,,,,,,,147666,,,
2001-10-01,,,,,,,,166189,,,
2005-11-01,,,,,,,,236561,,,
2012-10-01,,,,,,,,310281,,,
2005-01-01,,,,,,,,232422,,,
2014-07-01,,,,,,,,398737,,,
2014-01-01,,,,,,,,355830,,,
2009-06-01,,,,,,,,253596,,,
2000-07-01,,,,,,,,146228,,,
2024-09-01,,,,,,,,527535,,,
2013-01-01,,,,,,,,311364,,,
2022-06-01,,,,,,,,534693,,,
2006-06-01,,,,,,,,251417,,,
2009-07-01,,,,,,,,259793,,,
2001-08-01,,,,,,,,164628,,,
2008-07-01,,,,,,,,290261,,,
2014-09-01,,,,,,,,403670,,,
2000-08-01,,,,,,,,147284,,,
1998-06-01,,,,,,,,102891,,,
2015-11-01,,,,,,,,445485,,,
2016-08-01,,,,,,,,471957,,,
2016-11-01,,,,,,,,470854,,,
1999-11-01,,,,,,,,125792,,,
2007-08-01,,,,,,,,297653,,,
2017-08-01,,,,,,,,487085,,,
2017-09-01,,,,,,,,483833,,,
2014-05-01,,,,,,,,382705,,,
2004-12-01,,,,,,,,230185,,,
2002-03-01,,,,,,,,172749,,,
2018-08-01,,,,,,,,479550,,,
2000-01-01,,,,,,,,130411,,,
2000-10-01,,,,,,,,145626,,,
1998-12-01,,,,,,,,104785,,,
2007-07-01,,,,,,,,295694,,,
2015-09-01,,,,,,,,439729,,,
2009-10-01,,,,,,,,268780,,,
1999-02-01,,,,,,,,105273,,,
2011-07-01,,,,,,,,295843,,,
2020-03-01,,,,,,,,482605,,,
2020-06-01,,,,,,,,479969,,,
2016-01-01,,,,,,,,457466,,,
2003-04-01,,,,,,,,207953,,,
2014-11-01,,,,,,,,400803,,,
2007-04-01,,,,,,,,278805,,,
2012-04-01,,,,,,,,299065,,,
2013-09-01,,,,,,,,340494,,,
1999-10-01,,,,,,,,123002,,,
2014-02-01,,,,,,,,357876,,,
2004-07-01,,,,,,,,233877,,,
2013-04-01,,,,,,,,320921,,,
2004-08-01,,,,,,,,,210563,,
2002-08-01,,,,,,,,,177432,,
2021-05-01,,,,,,,,,419955,,
2003-05-01,,,,,,,,,189359,,
2015-04-01,,,,,,,,,367469,,
2005-08-01,,,,,,,,,213620,,
2015-05-01,,,,,,,,,374213,,
2002-06-01,,,,,,,,,171396,,
2016-02-01,,,,,,,,,403745,,
2003-09-01,,,,,,,,,190449,,
2011-10-01,,,,,,,,,259320,,
2001-12-01,,,,,,,,,153617,,
2001-04-01,,,,,,,,,137996,,
2011-11-01,,,,,,,,,260317,,
2015-10-01,,,,,,,,,389400,,
2007-02-01,,,,,,,,,245120,,
2009-12-01,,,,,,,,,241063,,
2004-11-01,,,,,,,,,211065,,
2017-04-01,,,,,,,,,428541,,
2010-01-01,,,,,,,,,249180,,
2001-05-01,,,,,,,,,142572,,
2020-08-01,,,,,,,,,421646,,
2004-10-01,,,,,,,,,207943,,
2018-10-01,,,,,,,,,420614,,
2019-07-01,,,,,,,,,419875,,
2007-10-01,,,,,,,,,270658,,
1999-08-01,,,,,,,,,105931,,
2023-03-01,,,,,,,,,436724,,
2014-03-01,,,,,,,,,326778,,
2023-11-01,,,,,,,,,427283,,
1998-05-01,,,,,,,,,88700,,
2012-06-01,,,,,,,,,274239,,
2005-03-01,,,,,,,,,207511,,
1998-02-01,,,,,,,,,85674,,
2015-02-01,,,,,,,,,363574,,
2006-02-01,,,,,,,,,214773,,
2016-05-01,,,,,,,,,414351,,
2016-09-01,,,,,,,,,416967,,
2019-03-01,,,,,,,,,406906,,
2019-10-01,,,,,,,,,411266,,
2006-10-01,,,,,,,,,233036,,
2014-08-01,,,,,,,,,362768,,
1999-04-01,,,,,,,,,96874,,
2022-07-01,,,,,,,,,450930,,
2013-10-01,,,,,,,,,305736,,
2017-06-01,,,,,,,,,428001,,
2022-05-01,,,,,,,,,434569,,
2012-05-01,,,,,,,,,271470,,
2009-03-01,,,,,,,,,225466,,
2017-05-01,,,,,,,,,430111,,
2011-02-01,,,,,,,,,253953,,
2019-05-01,,,,,,,,,404483,,
2023-02-01,,,,,,,,,440510,,
2012-08-01,,,,,,,,,275527,,
1998-04-01,,,,,,,,,89317,,
2024-07-01,,,,,,,,,432490,,
1999-01-01,,,,,,,,,93692,,
2007-01-01,,,,,,,,,240937,,
2003-07-01,,,,,,,,,192154,,
2012-11-01,,,,,,,,,275027,,
2007-11-01,,,,,,,,,268479,,
2013-08-01,,,,,,,,,299890,,
2010-11-01,,,,,,,,,250196,,
2020-01-01,,,,,,,,,416550,,
2012-12-01,,,,,,,,,280600,,
2013-12-01,,,,,,,,,319009,,
2016-06-01,,,,,,,,,413275,,
2004-04-01,,,,,,,,,202365,,
2001-07-01,,,,,,,,,145315,,
2016-07-01,,,,,,,,,418347,,
2024-02-01,,,,,,,,,423797,,
2022-03-01,,,,,,,,,435545,,
2003-03-01,,,,,,,,,185407,,
2014-10-01,,,,,,,,,360746,,
2008-01-01,,,,,,,,,269578,,
2010-12-01,,,,,,,,,253763,,
2017-07-01,,,,,,,,,434837,,
2018-06-01,,,,,,,,,421188,,
2009-05-01,,,,,,,,,227052,,
2010-02-01,,,,,,,,,247719,,
2011-05-01,,,,,,,,,254026,,
2000-04-01,,,,,,,,,126608,,
2005-05-01,,,,,,,,,211479,,
2019-12-01,,,,,,,,,418382,,
2024-01-01,,,,,,,,,428419,,
2009-02-01,,,,,,,,,226949,,
2011-09-01,,,,,,,,,262610,,
2016-03-01,,,,,,,,,412842,,
2008-10-01,,,,,,,,,242805,,
2018-02-01,,,,,,,,,423537,,
2002-11-01,,,,,,,,,184228,,
2001-01-01,,,,,,,,,134820,,
2007-06-01,,,,,,,,,258918,,
2006-07-01,,,,,,,,,226972,,
2022-12-01,,,,,,,,,445268,,
2003-10-01,,,,,,,,,192263,,
2005-06-01,,,,,,,,,211100,,
2005-12-01,,,,,,,,,215567,,
2006-03-01,,,,,,,,,216507,,
2013-02-01,,,,,,,,,280689,,
2013-07-01,,,,,,,,,298764,,
2010-09-01,,,,,,,,,256612,,
2009-11-01,,,,,,,,,238347,,
2006-09-01,,,,,,,,,231214,,
2015-03-01,,,,,,,,,363615,,
1998-11-01,,,,,,,,,91965,,
2020-10-01,,,,,,,,,415993,,
2022-10-01,,,,,,,,,446431,,
2020-05-01,,,,,,,,,411283,,
2012-01-01,,,,,,,,,262346,,
2018-09-01,,,,,,,,,416752,,
2020-02-01,,,,,,,,,411015,,
2023-06-01,,,,,,,,,435057,,
2008-12-01,,,,,,,,,228422,,
2021-02-01,,,,,,,,,423950,,
2018-07-01,,,,,,,,,424322,,
2021-07-01,,,,,,,,,432437,,
2024-05-01,,,,,,,,,425935,,
2001-02-01,,,,,,,,,134244,,
2000-05-01,,,,,,,,,125794,,
1999-05-01,,,,,,,,,99033,,
2010-04-01,,,,,,,,,251899,,
2007-03-01,,,,,,,,,246442,,
2003-11-01,,,,,,,,,193463,,
2001-09-01,,,,,,,,,149093,,
2010-10-01,,,,,,,,,253754,,
2011-06-01,,,,,,,,,256336,,
1999-03-01,,,,,,,,,95485,,
2017-12-01,,,,,,,,,421917,,
2004-06-01,,,,,,,,,207895,,
2005-10-01,,,,,,,,,209507,,
2018-05-01,,,,,,,,,420076,,
2021-10-01,,,,,,,,,428773,,
2010-05-01,,,,,,,,,250835,,
2008-09-01,,,,,,,,,250460,,
2012-07-01,,,,,,,,,275099,,
2021-04-01,,,,,,,,,420904,,
2024-04-01,,,,,,,,,424315,,
2004-05-01,,,,,,,,,204628,,
2017-11-01,,,,,,,,,421807,,
2000-06-01,,,,,,,,,128870,,
2004-09-01,,,,,,,,,209748,,
2016-12-01,,,,,,,,,419937,,
2015-01-01,,,,,,,,,361840,,
2020-09-01,,,,,,,,,425218,,
2021-03-01,,,,,,,,,434022,,
2005-07-01,,,,,,,,,212892,,
2023-01-01,,,,,,,,,444922,,
2010-08-01,,,,,,,,,257356,,
2005-02-01,,,,,,,,,207548,,
1998-10-01,,,,,,,,,91844,,
2022-01-01,,,,,,,,,436717,,
2022-08-01,,,,,,,,,454090,,
2011-04-01,,,,,,,,,264752,,
2021-06-01,,,,,,,,,431135,,
2012-02-01,,,,,,,,,257937,,
2023-09-01,,,,,,,,,441197,,
2012-09-01,,,,,,,,,274948,,
2015-08-01,,,,,,,,,387978,,
2024-06-01,,,,,,,,,430830,,
2009-01-01,,,,,,,,,229353,,
2023-07-01,,,,,,,,,433432,,
2002-05-01,,,,,,,,,166997,,
2002-12-01,,,,,,,,,184471,,
2007-12-01,,,,,,,,,270329,,
2008-08-01,,,,,,,,,253968,,
2019-02-01,,,,,,,,,407751,,
2008-11-01,,,,,,,,,233135,,
2008-03-01,,,,,,,,,264226,,
2010-06-01,,,,,,,,,253666,,
2001-11-01,,,,,,,,,151527,,
2013-11-01,,,,,,,,,309270,,
2014-04-01,,,,,,,,,337738,,
2021-11-01,,,,,,,,,437646,,
2022-02-01,,,,,,,,,438917,,
2023-12-01,,,,,,,,,428239,,
2002-09-01,,,,,,,,,178855,,
2004-03-01,,,,,,,,,199326,,
2020-04-01,,,,,,,,,412702,,
2024-03-01,,,,,,,,,423133,,
2005-09-01,,,,,,,,,211176,,
2003-02-01,,,,,,,,,186523,,
2008-05-01,,,,,,,,,266306,,
2017-01-01,,,,,,,,,421834,,
2019-09-01,,,,,,,,,418324,,
2006-08-01,,,,,,,,,230115,,
2019-01-01,,,,,,,,,410934,,
2011-01-01,,,,,,,,,255214,,
2001-03-01,,,,,,,,,136351,,
2011-03-01,,,,,,,,,257165,,
2018-12-01,,,,,,,,,415052,,
2000-03-01,,,,,,,,,119340,,
1997-12-01,,,,,,,,,84874,,
1998-03-01,,,,,,,,,87389,,
2014-12-01,,,,,,,,,362322,,
2017-02-01,,,,,,,,,427256,,
2002-01-01,,,,,,,,,153883,,
1999-09-01,,,,,,,,,109954,,
2000-09-01,,,,,,,,,132409,,
2000-02-01,,,,,,,,,118641,,
2007-09-01,,,,,,,,,270506,,
2020-07-01,,,,,,,,,419846,,
2021-09-01,,,,,,,,,431616,,
2008-04-01,,,,,,,,,265191,,
2006-04-01,,,,,,,,,220453,,
2007-05-01,,,,,,,,,256149,,
2018-01-01,,,,,,,,,425766,,
2022-09-01,,,,,,,,,451633,,
2024-08-01,,,,,,,,,443684,,
2008-02-01,,,,,,,,,267322,,
1998-01-01,,,,,,,,,85657,,
2003-06-01,,,,,,,,,188717,,
2001-06-01,,,,,,,,,144946,,
2004-01-01,,,,,,,,,196490,,
2023-08-01,,,,,,,,,434347,,
2011-12-01,,,,,,,,,261000,,
2000-12-01,,,,,,,,,133575,,
2018-03-01,,,,,,,,,416546,,
2006-01-01,,,,,,,,,214584,,
2010-03-01,,,,,,,,,250903,,
2019-04-01,,,,,,,,,411728,,
2002-02-01,,,,,,,,,154884,,
2020-11-01,,,,,,,,,422998,,
2002-10-01,,,,,,,,,179988,,
2015-12-01,,,,,,,,,398893,,
2021-08-01,,,,,,,,,438023,,
2006-12-01,,,,,,,,,238180,,
2023-10-01,,,,,,,,,435187,,
1998-07-01,,,,,,,,,91489,,
1999-07-01,,,,,,,,,103599,,
2003-08-01,,,,,,,,,190918,,
2008-06-01,,,,,,,,,260848,,
2002-04-01,,,,,,,,,163549,,
2002-07-01,,,,,,,,,173793,,
2010-07-01,,,,,,,,,259349,,
2011-08-01,,,,,,,,,261746,,
2013-05-01,,,,,,,,,288559,,
2013-03-01,,,,,,,,,278831,,
2003-12-01,,,,,,,,,196159,,
2006-11-01,,,,,,,,,231582,,
2013-06-01,,,,,,,,,290694,,
2014-06-01,,,,,,,,,349362,,
2015-07-01,,,,,,,,,385416,,
2017-03-01,,,,,,,,,422917,,
2018-04-01,,,,,,,,,420315,,
1999-12-01,,,,,,,,,115071,,
1998-09-01,,,,,,,,,91626,,
2012-03-01,,,,,,,,,259216,,
2018-11-01,,,,,,,,,414526,,
2005-04-01,,,,,,,,,211199,,
2021-01-01,,,,,,,,,426340,,
2021-12-01,,,,,,,,,435184,,
2006-05-01,,,,,,,,,223018,,
2023-05-01,,,,,,,,,437027,,
2009-09-01,,,,,,,,,241515,,
2023-04-01,,,,,,,,,435822,,
2019-11-01,,,,,,,,,405653,,
2019-08-01,,,,,,,,,409829,,
2016-04-01,,,,,,,,,407094,,
2019-06-01,,,,,,,,,410734,,
1999-06-01,,,,,,,,,100255,,
2017-10-01,,,,,,,,,426315,,
2022-11-01,,,,,,,,,446961,,
2009-04-01,,,,,,,,,222092,,
2009-08-01,,,,,,,,,234400,,
2016-10-01,,,,,,,,,417532,,
2003-01-01,,,,,,,,,186926,,
2020-12-01,,,,,,,,,421321,,
2022-04-01,,,,,,,,,438408,,
2004-02-01,,,,,,,,,196693,,
2015-06-01,,,,,,,,,373769,,
1998-08-01,,,,,,,,,91022,,
2000-11-01,,,,,,,,,133810,,
2001-10-01,,,,,,,,,149680,,
2005-11-01,,,,,,,,,211694,,
2012-10-01,,,,,,,,,277248,,
2005-01-01,,,,,,,,,208376,,
2014-07-01,,,,,,,,,357492,,
2014-01-01,,,,,,,,,320787,,
2009-06-01,,,,,,,,,229061,,
2000-07-01,,,,,,,,,130434,,
2024-09-01,,,,,,,,,437656,,
2013-01-01,,,,,,,,,277251,,
2022-06-01,,,,,,,,,450322,,
2006-06-01,,,,,,,,,226295,,
2009-07-01,,,,,,,,,233071,,
2001-08-01,,,,,,,,,149188,,
2008-07-01,,,,,,,,,262734,,
2014-09-01,,,,,,,,,362757,,
2000-08-01,,,,,,,,,132453,,
1998-06-01,,,,,,,,,90979,,
2015-11-01,,,,,,,,,395612,,
2016-08-01,,,,,,,,,415648,,
2016-11-01,,,,,,,,,418660,,
1999-11-01,,,,,,,,,111981,,
2007-08-01,,,,,,,,,269035,,
2017-08-01,,,,,,,,,432209,,
2017-09-01,,,,,,,,,428892,,
2014-05-01,,,,,,,,,345723,,
2004-12-01,,,,,,,,,206756,,
2002-03-01,,,,,,,,,157187,,
2018-08-01,,,,,,,,,420693,,
2000-01-01,,,,,,,,,115506,,
2000-10-01,,,,,,,,,129962,,
1998-12-01,,,,,,,,,92440,,
2007-07-01,,,,,,,,,266890,,
2015-09-01,,,,,,,,,392127,,
2009-10-01,,,,,,,,,240658,,
1999-02-01,,,,,,,,,93355,,
2011-07-01,,,,,,,,,265623,,
2020-03-01,,,,,,,,,421036,,
2020-06-01,,,,,,,,,414734,,
2016-01-01,,,,,,,,,405793,,
2003-04-01,,,,,,,,,188347,,
2014-11-01,,,,,,,,,358450,,
2007-04-01,,,,,,,,,251019,,
2012-04-01,,,,,,,,,267993,,
2013-09-01,,,,,,,,,306464,,
1999-10-01,,,,,,,,,109870,,
2014-02-01,,,,,,,,,323086,,
2004-07-01,,,,,,,,,209501,,
2013-04-01,,,,,,,,,288624,,
2000-10-01,,,,,,,,,,83261,
2004-04-01,,,,,,,,,,147250,
2016-10-01,,,,,,,,,,229944,
2018-03-01,,,,,,,,,,240428,
1999-06-01,,,,,,,,,,69428,
2005-06-01,,,,,,,,,,164069,
2006-02-01,,,,,,,,,,166896,
2000-12-01,,,,,,,,,,84191,
2008-03-01,,,,,,,,,,188657,
2017-05-01,,,,,,,,,,236727,
2010-01-01,,,,,,,,,,174458,
2013-08-01,,,,,,,,,,185642,
2005-08-01,,,,,,,,,,166440,
2017-09-01,,,,,,,,,,242041,
2014-06-01,,,,,,,,,,197951,
2014-02-01,,,,,,,,,,189347,
1999-08-01,,,,,,,,,,71699,
2004-07-01,,,,,,,,,,156730,
2019-12-01,,,,,,,,,,248097,
2014-05-01,,,,,,,,,,196171,
2014-11-01,,,,,,,,,,202704,
1998-09-01,,,,,,,,,,65606,
2011-02-01,,,,,,,,,,173811,
2018-06-01,,,,,,,,,,244962,
2003-07-01,,,,,,,,,,132318,
2016-06-01,,,,,,,,,,228430,
1999-05-01,,,,,,,,,,68402,
2011-04-01,,,,,,,,,,175490,
2018-07-01,,,,,,,,,,247981,
1998-08-01,,,,,,,,,,65743,
1999-09-01,,,,,,,,,,72816,
2002-10-01,,,,,,,,,,115879,
2007-06-01,,,,,,,,,,190822,
2001-11-01,,,,,,,,,,95083,
2009-11-01,,,,,,,,,,172818,
1998-02-01,,,,,,,,,,61659,
2016-09-01,,,,,,,,,,230848,
